STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,30-01-2000,,,,,,,0,"T,,0",,,27,",,0",24,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,31-01-2000,,,,,0,"P,,0,2400",0,"P,,0",,,33,",,0",19,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,01-02-2000,,,,,0,"P,,0,2400",0,"P,,0",,,34,",,0",15,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,02-02-2000,,,,,0,"P,,0,2400",0,"P,,0",,,35,",,0",15,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,03-02-2000,,,,,0,"P,,0,2400",0,"P,,0",,,47,",,0",28,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,04-02-2000,,,,,0,"P,,0,2400",0,"P,,0",,,31,",,0",19,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,05-02-2000,,,,,0,"P,,0,2400",0,"P,,0",,,38,",,0",18,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,06-02-2000,,,,,0,"P,,0,2400",0,"P,,0",,,46,",,0",19,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,07-02-2000,,,,,0,"P,,0,2400",0,"P,,0",,,49,",,0",24,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,08-02-2000,,,,,0,"P,,0,2400",0,"P,,0",,,45,",,0",23,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,09-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",60,",,0",31,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,10-02-2000,,,,,0,"T,,0,2400",0,"P,,0",0,"P,,0",65,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,11-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",38,",,0",29,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,12-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",47,",,0",29,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,13-02-2000,,,,,1.55,",,0,2400",0,"P,,0",0,"P,,0",43,",,0",38,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,14-02-2000,,,,,0,"T,,0,2400",0,"P,,0",0,"P,,0",39,",,0",33,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,15-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",52,",,0",34,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,16-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",42,",,0",27,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,17-02-2000,,,,,0.76,",,0,2400",0,"P,,0",0,"P,,0",44,",,0",26,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,18-02-2000,,,,,2.97,",,0,2400",0,"P,,0",0,"P,,0",53,",,0",32,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,19-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",36,",,0",31,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,20-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",47,",,0",31,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,21-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",55,",,0",27,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,22-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",60,",,0",47,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,23-02-2000,,,,,1.02,",,0,2400",0,"P,,0",0,"P,,0",66,",,0",48,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,24-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",72,",,0",55,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,25-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",74,",,0",57,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,26-02-2000,,,,,1.78,",,0,2400",0,"P,,0",0,"P,,0",61,",,0",53,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,27-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",54,",,0",38,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,28-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",60,",,0",33,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,29-02-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",67,",,0",41,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,01-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",58,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,02-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",50,",,0",34,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,03-03-2000,,,,,0.25,",,0,2400",0,"P,,0",0,"P,,0",40,",,0",32,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,04-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",54,",,0",32,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,05-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",64,",,0",32,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,06-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",69,",,0",37,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,07-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",78,",,0",47,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,08-03-2000,,,,,0,"T,,0,2400",0,"P,,0",0,"P,,0",77,",,0",55,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,09-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",63,",,0",35,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,10-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",52,",,0",33,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,11-03-2000,,,,,0.45,",,0,2400",0,"P,,0",0,"P,,0",36,",,0",20,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,12-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",44,",,0",20,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,13-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",55,",,0",30,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,14-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",60,",,0",31,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,15-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",69,",,0",43,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,16-03-2000,,,,,0.83,",,0,2400",0,"P,,0",0,"P,,0",54,",,0",30,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,17-03-2000,,,,,0.17,",,0,2400",0,"P,,0",0,"P,,0",46,",,0",30,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,18-03-2000,,,,,0.17,",,0,2400",0,"P,,0",0,"P,,0",56,",,0",30,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,19-03-2000,,,,,0,"T,,0,2400",0,"P,,0",0,"P,,0",51,",,0",42,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,20-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",49,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,21-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",,,,,,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,22-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",64,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,23-03-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",68,",,0",46,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,24-03-2000,,,,,0.05,",,0,2400",0,"P,,0",0,"P,,0",76,",,0",53,",,0",,,,,,,,,,,,,,
